t,level,marginal,lower,upper,scale
t516,1.8,0.0,0.2,1.8,1.0
t517,1.8,0.0,0.2,1.8,1.0
t518,1.8,0.0,0.2,1.8,1.0
t519,1.8,0.0,0.2,1.8,1.0
t520,1.8,1.4653892526853554,0.2,1.8,1.0
t521,1.8,0.0,0.2,1.8,1.0
t522,1.8,0.0,0.2,1.8,1.0
t523,0.2,0.0,0.2,1.8,1.0
t524,0.2,-0.32573314440212187,0.2,1.8,1.0
t525,0.2,0.0,0.2,1.8,1.0
t526,0.2,0.0,0.2,1.8,1.0
t527,0.2,0.0,0.2,1.8,1.0
t528,0.2,0.0,0.2,1.8,1.0
t529,0.2,0.0,0.2,1.8,1.0
t530,0.2,0.0,0.2,1.8,1.0
t531,0.2,-1.0436576896739922,0.2,1.8,1.0
t532,0.2,0.0,0.2,1.8,1.0
t533,0.2,0.0,0.2,1.8,1.0
t534,0.2,0.0,0.2,1.8,1.0
t535,0.2,0.0,0.2,1.8,1.0
t536,0.2,0.0,0.2,1.8,1.0
t537,0.2,0.0,0.2,1.8,1.0
t538,1.73,0.0,0.2,1.8,1.0
t539,1.8,0.0,0.2,1.8,1.0
t540,1.8,0.0,0.2,1.8,1.0
t541,1.8,0.0,0.2,1.8,1.0
t542,1.8,0.0,0.2,1.8,1.0
t543,1.8,0.0,0.2,1.8,1.0
t544,1.8,0.0,0.2,1.8,1.0
t545,1.8,1.485010859756116,0.2,1.8,1.0
t546,1.8,0.0,0.2,1.8,1.0
t547,0.2,-0.4093457526307134,0.2,1.8,1.0
t548,0.2,0.0,0.2,1.8,1.0
t549,0.2,0.0,0.2,1.8,1.0
t550,0.2,0.0,0.2,1.8,1.0
t551,0.2,0.0,0.2,1.8,1.0
t552,0.2,0.0,0.2,1.8,1.0
t553,0.2,0.0,0.2,1.8,1.0
t554,0.2,0.0,0.2,1.8,1.0
t555,0.2,0.0,0.2,1.8,1.0
t556,0.2,0.0,0.2,1.8,1.0
t557,0.2,-1.1146404985471463,0.2,1.8,1.0
t558,0.2,0.0,0.2,1.8,1.0
t559,0.2,0.0,0.2,1.8,1.0
t560,0.2,0.0,0.2,1.8,1.0
t561,0.2,0.0,0.2,1.8,1.0
t562,1.73,0.0,0.2,1.8,1.0
t563,1.8,0.0,0.2,1.8,1.0
t564,1.8,0.0,0.2,1.8,1.0
t565,1.8,0.0,0.2,1.8,1.0
t566,1.8,0.0,0.2,1.8,1.0
t567,1.8,0.0,0.2,1.8,1.0
t568,1.8,1.3701202686737872,0.2,1.8,1.0
t569,1.8,0.0,0.2,1.8,1.0
t570,1.8,0.0,0.2,1.8,1.0
t571,0.2,-0.29941168119648864,0.2,1.8,1.0
t572,0.2,0.0,0.2,1.8,1.0
t573,0.2,0.0,0.2,1.8,1.0
t574,0.2,0.0,0.2,1.8,1.0
t575,0.2,0.0,0.2,1.8,1.0
t576,0.2,0.0,0.2,1.8,1.0
t577,0.2,-1.1429324686181133,0.2,1.8,1.0
t578,0.2,0.0,0.2,1.8,1.0
t579,0.2,0.0,0.2,1.8,1.0
t580,0.2,0.0,0.2,1.8,1.0
t581,0.2,0.0,0.2,1.8,1.0
t582,0.2,0.0,0.2,1.8,1.0
t583,0.2,0.0,0.2,1.8,1.0
t584,0.2,0.0,0.2,1.8,1.0
t585,0.2,0.0,0.2,1.8,1.0
t586,1.73,0.0,0.2,1.8,1.0
t587,1.8,1.3903854922029666,0.2,1.8,1.0
